,company_name,keyn,ceo,founded,size,revenue,industry
64,Fisker Inc,265,-1,-1,-1,-1,-1
65,Stryker Corporation,266,Kevin Lobo,1941,"more than 10,000",more than $10B (USD),Healthcare
66,Zeroshop.co,267,-1,-1,-1,-1,-1
67,AmeriCorps,268,Barbara Stewart,-1,"1001 to 5,000",-1,Government & Public Administration
68,GSK,269,Emma Walmsley,1830,"more than 10,000",more than $10B (USD),Healthcare
69,Barclays,270,-1,1690,"more than 10,000",more than $10B (USD),Financial Services
70,Duke Careers,271,-1,1838,"more than 10,000",$1B to $5B (USD),Education
71,Microsoft,272,Satya Nadella,1975,"more than 10,000",more than $10B (USD),Information Technology
72,The North Face,273,Steve Rendle,1966,"more than 10,000",$25M to $100M (USD),Retail & Wholesale
73,GSK,274,Emma Walmsley,1830,"more than 10,000",more than $10B (USD),Healthcare
74,ERM Group,275,-1,1971,"1001 to 5,000",$100M to $500M (USD),Management & Consulting
75,University of Washington,276,-1,-1,-1,-1,-1
