,Unnamed: 0,company_name,ceo,founded,size,revenue,industry
611,257,Southwire,Rich Stinson,1950,"5,001 to 10,000",$1B to $5B (USD),Manufacturing
612,258,Steelcase,Jim Keane,1912,"more than 10,000",$1B to $5B (USD),Shipping & Trucking
613,259,PPG Industries,Michael H. McGarry,1883,"more than 10,000",more than $10B (USD),Manufacturing
614,260,Anheuser-Busch,Carlos Brito,1852,"more than 10,000",more than $10B (USD),Retail & Wholesale
615,261,Sound Agriculture,-1,-1,-1,-1,Crop Production
616,262,Kings Dominion,Richard Zimmerman,1975,"1001 to 5,000",$1M to $5M (USD),Event Services
617,263,University of Washington,Ana Mari Cauce,1861,"more than 10,000",$5M to $25M (USD),Education
618,264,City of Tucson,-1,1877,"5,001 to 10,000",-1,Government & Public Administration
619,265,National Renewable Energy Laboratory,-1,1978,"1001 to 5,000",-1,Government & Public Administration
620,266,Salesforce,Marc Benioff,1999,"more than 10,000",more than $10B (USD),Information Technology
621,267,Nouryon,-1,-1,"5,001 to 10,000",$5B to $10B (USD),Manufacturing
622,268,Honeywell,Darius Adamczyk,1885,"more than 10,000",more than $10B (USD),Manufacturing
623,269,GreenPrint,-1,-1,-1,-1,-1
624,270,Cummins Inc.,Tom Linebarger,1919,"more than 10,000",more than $10B (USD),Manufacturing
625,271,Humana,Humana  Bruce Broussard,1961,"more than 10,000",more than $10B (USD),Healthcare
626,272,Kent State University,-1,1910,"5,001 to 10,000",$100M to $500M (USD),Education
627,273,FMC Corporation,-1,1883,"1001 to 5,000",$1B to $5B (USD),"Energy, Mining & Utilities and manufacturing"
628,274,Neiman Marcus,Geoffroy Van Raemdonck,1907,"1001 to 5,000",more than $10B (USD),Retail & Wholesale
629,275,Getinge,-1,-1,"more than 10,000",$1B to $5B (USD),Healthcare
630,276,National Renewable Energy Laboratory,-1,1978,"1001 to 5,000",-1,Government & Public Administration
631,277,New York Power Authority,-1,1931,"1001 to 5,000",$1B to $5B (USD),"Energy, Mining & Utilities"
632,278,Agri Beef Co.,-1,1968,"501 to 1,000",$100M to $500M (USD),Agriculture
633,279,Fanatics Inc.,Doug Mack,1996,"1001 to 5,000",$100M to $500M (USD),Retail & Wholesale
634,280,Central Coast Agriculture,-1,-1,-1,-1,Agriculture
635,281,Beyond Meat,-1,2009,less than 10,$1M to $5M (USD),Catering & Food Service Contractors
636,282,Symetra,Margaret. Meister - President and Chief Executive ,2004,"1001 to 5,000",$1B to $5B (USD),Insurance
637,283,Smithfield Foods,Dennis Organ,1936,"more than 10,000",more than $10B (USD),Manufacturing
638,284,Hines,-1,-1,-1,-1,-1
639,285,Symetra,Margaret. Meister - President and Chief Executive ,2004,"1001 to 5,000",$1B to $5B (USD),Insurance
640,286,Sack Properties,-1,-1,11 to 50,-1,Property Management
641,287,Rhythm,-1,-1,11 to 50,$5M to $25M (USD),Information Technology
642,0,Free Flow Wines,-1,2009,less than 10,$5M to $25M (USD),Food & Beverage Manufacturing
643,1,"Satco, Inc.",-1,-1,-1,-1,Banking & Lending
644,2,Planta,-1,-1,-1,-1,-1
645,3,Tom's of Maine,-1,2006,51 to 200,$25M to $100M (USD),-1
646,4,CRH,-1,-1,-1,-1,"Construction, Repair & Facilities Services"
647,5,Brodie Builders,-1,-1,-1,-1,Architectural & Engineering Services
648,6,3M,-1,-1,-1,-1,-1
649,7,ERM Group,-1,1971,"1001 to 5,000",$100M to $500M (USD),Management & Consulting
650,8,City of Boston,Marty Walsh,1630,"more than 10,000",-1,Government & Public Administration
651,9,Peraton,Stu Shea,2017,"more than 10,000",$5B to $10B (USD),Aerospace & Defense
652,10,Cummins Inc.,Tom Linebarger,1919,"more than 10,000",more than $10B (USD),Manufacturing
653,11,University of California - Irvine,-1,1965,"more than 10,000",$1B to $5B (USD),Education
654,12,"Steven Winter Associates, Inc.",-1,1972,51 to 200,$5M to $25M (USD),-1
655,13,JLL,Christian Ulbrich,1985,"more than 10,000",more than $10B (USD),Real Estate
656,14,Curaleaf,-1,-1,-1,-1,Retail & Wholesale
657,15,"Agilent Technologies, Inc.",Mike McMullen,1999,"more than 10,000",$1B to $5B (USD),Healthcare
658,16,Yum! Brands,David Gibbs,1997,"1001 to 5,000",$1B to $5B (USD),Restaurants & Food Service
